Das sind die Freuden {{c1::maßloser}} Selbstüberschätzung.		
Obwohl das der am besten bezahlte Job auf dem Campus ist.		
Zwei Monate später langweilt mich das Speedreading bis zur Bewusstlosigkeit, und ich mache meinen Laden dicht.		
Dienstleistungen sind nicht mein Ding - was ich brauche, ist ein Produkt, das ich verschicken kann.		
Ich teile dem Prüfungsamt mit, dass ich die Universität bis auf weiteres verlasse.	bis auf weiteres = until further notice	
Ich lese jeden Tag, während ich zum Mittagessen gehe, die Schlagzeilen in den Zeitungsautomaten - (and otherwise nothing){{c1::und sonst nichts}}.		
Diese selektive Ignoranz hat mir in den letzten fünf Jahren nicht ein einziges Mal Probleme (caused){{c1::bereitet}}.		
Außerdem lese ich jeden Tag zur Entspannung eine Stunde (before falling asleep){{c1::vor dem Einschlafen}}, vor allem Romane.		
Außerdem lese ich jeden Tag zur Entspannung eine Stunde vor dem Einschlafen, (particularly){{c1::vor allem}} Romane.		
Und (how in the world){{c1::wie in aller Welt}} kann ich dann ein verantwortungsvoller Bürger sein?		
Ich habe bei der letzten amerikanischen Präsidentschaftswahl meine Stimme abgegeben, obwohl ich (at the time){{c1::zu der Zeit}} in Berlin war.		
Zuschauer und Möchtegerne sind {{c1::die}} Zeit nicht wert.		
Auf Grundlage der Lektüre dieses Buches (I came up with intelligent and specific questions){{c1::dachte ich mir intelligente und spezifische Fragen aus}}.		
Oft vergisst man, wie (effective){{c1::wirkungsvoll}} ein persönliches Gespräch sein kann.		
Und auch hier gilt: Weniger ist mehr. (Keep that in mind){{c1::Behalten Sie das im Hinterkopf.}}		
Wie man mit einem zehnminütigen Training seine Lesegeschwindigkeit (by){{c1::um}} 200 Prozent erhöht.		
Wie man mit einem (ten minute){{c1::zehnminütigen}} Training seine Lesegeschwindigkeit um 200 Prozent erhöht.		
Keine Frage, es wird Momente geben, (in which){{c1::in denen}} Sie etwas lesen müssen, weil Sie sich bestimmte Informationen aneignen wollen.		
So nutzen Sie Ihre Fähigkeit des peripheren (vision){{c1::Sehens}}.		
Lernen, Dinge zu ignorieren, (is one of the best ways to inner peace){{c1::ist einer der besten Wege zu innerem Frieden}}.		
Beginnen Sie sofort mit einer (one week){{c1::einwöchigen}} Medien-Fastenkur.		
kein Fernsehen, außer - wenn Sie möchten - jeden Abend eine Stunde (for entertainment){{c1::zur Unterhaltung}}.		
Erstens ist es nicht produktiv, zwei Sachbücher oder Ratgeber gleichzeitig zu lesen. Und zweitens eignet sich ein guter Roman besser, (to switch off from the events of the day){{c1::um von den Ereignissen des Tages abzuschalten}}.		
"Irgendetwas Wichtiges los auf der Welt? (I haven't got around to buying a newspaper today){{c1::Ich bin heute nicht dazu gekommen, mir eine Zeitung zu kaufen."}}		
Seien Sie streng mit sich selbst. Ich kann die Medizin nur (prescribe){{c1::verschreiben}}, einnehmen müssen Sie sie selbst.		
Seien Sie streng mit sich selbst. Ich kann {{c1::die}} Medizin nur verschreiben, einnehmen müssen Sie sie selbst.		
Seien Sie streng mit sich selbst. Ich kann die Medizin nur verschreiben, (take){{c1::einnehmen}} müssen Sie sie selbst.		
Informationen sind nutzlos, wenn sie nicht tatsächlich benötigt werden oder wenn sie wieder vergessen sind, bevor Sie die Chance hatten, sie (to use){{c1::anzuwenden}}.		 
Ich hatte früher die Angewohnheit, wenn ich etwas recherchieren oder vorbereiten musste, mir die nötigen Bücher und Webseiten (months in advance){{c1::Monate im Voraus}} anzusehen beziehungsweise durchzulesen.		
Ich hatte früher die (bad habit){{c1::Angewohnheit}}, wenn ich etwas recherchieren oder vorbereiten musste, mir die nötigen Bücher und Webseiten Monate im Voraus anzusehen beziehungsweise durchzulesen.		
Ich hatte früher die Angewohnheit, wenn ich etwas recherchieren oder vorbereiten musste, mir die (necessary){{c1::nötigen}} Bücher und Webseiten Monate im Voraus anzusehen beziehungsweise durchzulesen.		
Ich hatte früher die Angewohnheit, wenn ich etwas recherchieren oder vorbereiten musste, mir die nötigen Bücher und Webseiten Monate im Voraus anzusehen (and/or){{c1::beziehungsweise}} durchzulesen.		
(Practise){{c1::Üben Sie sich in}} der Kunst der Nichtvollendung.		
Üben Sie sich {{c1::in}} der Kunst der Nichtvollendung.		
Etwas anzufangen heißt nicht automatisch, dass man es auch (finish){{c1::zu Ende bringen}} muss.		
Wenn Sie ins Kino gehen und der Film schlechter ist als "Matrix Revolutions", dann machen Sie, dass Sie (get out of there){{c1::da rauskommen}}, bevor noch mehr Neuronen absterben.		
Wenn Sie ins Kino gehen und der Film schlechter ist als "Matrix Revolutions", dann machen Sie, dass Sie da rauskommen, bevor noch mehr (neurons){{c1::Neuronen}} absterben.		
Wenn Sie ins Kino gehen und der Film schlechter ist als "Matrix Revolutions", dann machen Sie, dass Sie da rauskommen, bevor noch mehr Neuronen (die off){{c1::absterben}}.		
Mehr ist nicht besser, und manchmal ist es zehnmal sinnvoller, etwas aufzugeben, (than to finsh it){{c1::als es zu Ende zu führen}}.		
Gewöhnen Sie sich an, langweilige und unproduktive Dinge (not finishing){{c1::nicht abzuschließen}}, wenn es nicht gerade ein Vorgesetzter verlangt.		
Achten Sie darauf, Augenkontakt zu halten, und fragen Sie jeden Tag mindestens (two attractive members of the opposite sex){{c1::zwei attraktive Vertreter des anderen Geschlechts}} nach ihrer Telefonnummer (je mehr Sie ansprechen, desto weniger stressig wird es sein). Fen, das gilt auch für Sie.
Achten Sie darauf, Augenkontakt zu halten, und fragen Sie jeden Tag mindestens zwei attraktive Vertreter des anderen Geschlechts (for their){{c1::nach ihrer}} Telefonnummer (je mehr Sie ansprechen, desto weniger stressig wird es sein). Meine Damen, das gilt auch für Sie.		
Achten Sie darauf, Augenkontakt zu halten, und fragen Sie jeden Tag mindestens zwei attraktive Vertreter des anderen Geschlechts nach ihrer Telefonnummer (je mehr Sie (speak to){{c1::ansprechen}}, desto weniger stressig wird es sein). Meine Damen, das gilt auch für Sie.		
Achten Sie darauf, Augenkontakt zu halten, und fragen Sie jeden Tag mindestens zwei attraktive Vertreter des anderen Geschlechts nach ihrer Telefonnummer (je mehr Sie ansprechen, desto weniger stressig wird es sein). (Ladies){{c1::Meine Damen}}, das gilt auch für Sie.		
Achten Sie darauf, Augenkontakt zu halten, und fragen Sie jeden Tag mindestens zwei attraktive Vertreter des anderen Geschlechts nach ihrer Telefonnummer (je mehr Sie ansprechen, desto weniger stressig wird es sein). Meine Damen, (that goes for you too){{c1::das gilt auch für Sie}}.		
Denken Sie daran, dass das Ziel nicht die Telefonnummern (in themselves){{c1::an sich}} sind.		
Denken Sie daran, dass das Ziel nicht die Telefonnummern (per se){{c1::an sich}} sind.		
Wenn Sie schnell ein bisschen Übung bekommen wollen, gehen Sie in ein Einkaufszentrum und versuchen Sie, in fünf Minuten drei Leute (in a row){{c1::hintereinander}} anzusprechen.		
Wenn Sie schnell ein bisschen Übung bekommen wollen, gehen Sie in ein Einkaufszentrum und versuchen Sie, in fünf Minuten drei Leute hintereinander (speak to){{c1::anzusprechen}}.		
Der Assistent des Professors hatte (buried his face in his hands){{c1::das Gesicht in den Händen vergraben}}.		
Lernen Sie, schwierig zu sein, (when it matters){{c1::wenn es darauf ankommt}}. An der Uni ist es ebenso wie im Leben: Wer den Ruf hat, durchsetzungsstark zu sein, wird bevorzugt behandelt und muss nicht jedes Mal darum betteln oder kämpfen.		
Lernen Sie, schwierig zu sein, wenn es darauf ankommt. An der Uni ist es ebenso wie im Leben: Wer den Ruf hat, durchsetzungsstark zu sein, wird bevorzugt behandelt und muss nicht jedes Mal darum (beg){{c1::betteln}} oder kämpfen.		
Jede Unterbrechung (stops us from){{c1::hindert uns daran}}, eine entscheidende Aufgabe von Anfang bis Ende abzuarbeiten.		
(Every){{c1::Jede}} Unterbrechung hindert uns daran, eine entscheidende Aufgabe von Anfang bis Ende abzuarbeiten.		
Jede Unterbrechung hindert uns daran, eine entscheidende Aufgabe (start to finish){{c1::von Anfang bis Ende}} abzuarbeiten.		
Die Verursacher kommen (first and foremost){{c1::in erster Linie}} aus den folgenden drei Kategorien:		
Dinge, die man folgenlos ignorieren kann. Zu (the most widespread){{c1::den am weitesten verbreiteten}} Zeitverschwendern gehören Meetings, Diskussionen, Telefonanrufe und E-Mails, die unwichtig sind.		
Aufgaben oder (Inquiries){{c1::Anfragen}}, die erledigt werden müssen und denen wir uns aus Routine regelmäßig widmen, die aber oft die Arbeit an wichtigen Aufgaben unterbrechen.		
Aufgaben oder Anfragen, die erledigt werden müssen und (to which){{c1::denen}} wir uns aus Routine regelmäßig widmen, die aber oft die Arbeit an wichtigen Aufgaben unterbrechen.		
Versäumtes Empowerment: Fälle, (in which){{c1::in denen}} sich jemand erst eine Genehmigung holen muss, bevor er eine Kleinigkeit veranlassen kann.		
Zeitverschwender lassen sich am leichtesten eliminieren und abwenden. Der Trick besteht darin, sie entweder abzublocken oder, wenn das nicht möglich sein sollte, umgehend zu handeln, anstatt sich lange und umständlich mit ihnen (deal with){{c1::auseinanderzusetzen}}.		
Zeitverschwender lassen sich am leichtesten eliminieren und abwenden. Der Trick besteht darin, sie entweder abzublocken oder, wenn das nicht möglich sein sollte, umgehend zu handeln, anstatt {{c1::sich}} lange und umständlich mit ihnen auseinanderzusetzen.		
Zeitverschwender lassen sich am leichtesten eliminieren und abwenden. Der Trick besteht darin, sie entweder abzublocken oder, wenn das nicht möglich sein sollte, umgehend zu handeln, anstatt sich lange und (laboriously){{c1::umständlich}} mit ihnen auseinanderzusetzen.		
Erstens: Schalten Sie den Signalton für (in coming){{c1::ankommende}} Mails aus.		
Schauen Sie niemals morgens als Erstes in Ihr Postfach. (This habit alone){{c1::Schon allein diese Angewohnheit}} kann Ihr Leben verändern.		
Ein (seemingly){{c1::scheinbar}} kleiner Schritt, der enorme Konsequenzen hat.		
(Most people){{c1::Die meisten Menschen}} sind einfach nicht in der Lage, den Ernst einer Situation einzuschätzen.		
Die meisten Menschen sind einfach nicht in der Lage, den Ernst einer Situation (judging){{c1::einzuschätzen}}.		
Nebensächlichkeiten werden unnötig (blow up){{c1::aufgeblasen}}, um Zeit zu füllen und sich wichtig zu fühlen.		
Das führt dazu, dass auch Ihre Kollegen und Mitarbeiter beginnen, ihre (requests){{c1::Anliegen}} knapp und präzise zu formulieren.		
In Notfällen können Sie beide mich auf meinem Handy erreichen, (but I trust your judgement){{c1::aber ich vertraue Ihrem Urteil}}.		
(Meetings should only ever take place){{c1::Meetings sollten überhaupt nur stattfinden}}, um Entscheidungen zu treffen.		
Gewöhnen Sie sich Meetings ab, in denen ein Problem (first){{c1::erst}} definiert werden muss		
Das muss alles (in advance){{c1::vorab}} geklärt sein, sonst verbringen Sie unnötig viel Zeit mit irrelevanten Themen.		
Wenn Ihnen jemand ein Treffen vorschlägt oder einen Telefongesprächstermin (arrange){{c1::vereinbaren}} will, dann bitten Sie darum, dass er Ihnen eine E-Mail mit einer Agenda schickt, welche Punkte er besprechen möchte.		
(The expression){{c1::Die Äußerung}} "Vielen Dank im Voraus" sorgt in den meisten Fällen dafür, dass Sie umgehend eine Antwort erhalten.		
Die Äußerung "Vielen Dank im Voraus" (ensures in most cases){{c1::sorgt in den meisten Fällen dafür}}, dass Sie umgehend eine Antwort erhalten.		
(The medium of Email forced people to ){{c1::Das Medium E-Mail zwingt die Leute}}, das gewünschte Ergebnis eines Meetings oder einer Telefonkonferenz schriftlich festzuhalten.		
Das Medium E-Mail zwingt die Leute, (the desired result){{c1::das gewünschte Ergebnis}} eines Meetings oder einer Telefonkonferenz schriftlich festzuhalten.		
Das Medium E-Mail zwingt die Leute, das gewünschte Ergebnis eines Meetings oder einer Telefonkonferenz schriftlich (stick to){{c1::festzuhalten}}.		
(In nine out of ten cases){{c1::In neun von zehn Fällen}} ist das Meeting unnötig und Sie können die Fragen, wenn sie erst einmal formuliert sind, per Mail beantworten.		
In neun von zehn Fällen ist das Meeting unnötig und Sie können die Fragen, (once they have been formulated){{c1::wenn sie erst einmal formuliert sind}}, per Mail beantworten.		
(Set){{c1::Legen}} Sie vorab die Dauer von Meetings fest.		
Wenn die Fragen (clearly outlined){{c1::klar umrissen}} sind, dann sollte es nicht länger als 30 Minuten dauern, eine Entscheidung zu fällen.		
Wenn die Fragen klar umrissen sind, dann sollte es nicht länger als 30 Minuten dauern, eine Entscheidung zu {{c1::fällen}}.		
(Disapear){{c1::Machen Sie sich vom Acker}} und lassen Sie sich später von jemand anderem über die Ergebnisse informieren.		
Machen Sie sich vom Acker und lassen Sie sich später (from someone else){{c1::von jemand anderem}} über die Ergebnisse informieren.		
Dulden Sie keine Besucher, die nur ein (to have a little chat){{c1::Schwätzchen halten}} wollen.		
Ich will Ihnen gerne helfen, (but I have to finish this first){{c1::aber ich muss das hier erst zu Ende bringen}}.		
Wenn Sie den Eindringling immer noch nicht loswerden können, geben Sie ihm ein Zeitlimit für Ihre (availibility){{c1::Verfügbarkeit}}.		
Wenn ein Kunde Gefallen an einem Welpen findet, aber noch zögert, den Kauf in {{c1::die}} Tat umzusetzen, dann bietet man ihm einfach an, den Kleinen zur Probe mit nach Hause zu nehmen - er könne ihn ja wieder zurückbringen, wenn er seine Meinung ändern sollte.		
Wenn ein Kunde Gefallen an einem Welpen findet, aber noch zögert, den Kauf in die Tat umzusetzen, dann bietet man ihm einfach an, den Kleinen (on trial){{c1::zur Probe}} mit nach Hause zu nehmen - er könne ihn ja wieder zurückbringen, wenn er seine Meinung ändern sollte.		
Wenn ein Kunde Gefallen an einem Welpen findet, aber noch zögert, den Kauf in die Tat umzusetzen, dann bietet man ihm einfach an, den Kleinen zur Probe (take home){{c1::mit nach Hause zu nehmen}} - er könne ihn ja wieder zurückbringen, wenn er seine Meinung ändern sollte.		
(If it's ok){{c1::Wenn es geht}}, würde ich heute lieber einmal aussetzen - ich wäre im Meeting sowieso mit den Gedanken woanders.		
Wenn es geht, (I'd rather sit this one out today){{c1::würde ich heute lieber einmal aussetzen}} - ich wäre im Meeting sowieso mit den Gedanken woanders.		
Wenn es geht, würde ich heute lieber einmal aussetzen - (my head would be elsewhere in the meeting anway){{c1::ich wäre im Meeting sowieso mit den Gedanken woanders}}.		
Ich verspreche, dass ich mich hinterher informieren werde, indem ich mich mit dem Kollegen X (get together){{c1::zusammensetze}}.		
Ich verspreche, dass ich mich (afterwards){{c1::hinterher}} informieren werde, indem ich mich mit dem Kollegen X zusammensetze.		
Die zweite Variante sieht (in both cases){{c1::in beiden Fällen}} weniger endgültig aus, und das ist natürlich genau so beabsichtigt.		
Die zweite Variante sieht in beiden Fällen weniger endgültig aus, und das ist natürlich (exactly how it's intended){{c1::genau so beabsichtigt}}.		
(Parents fall for it){{c1::Eltern fallen darauf herein}}, weil die Kinder ihnen helfen, sich selbst etwas vorzumachen. Das funktioniert mit Chefs, Lieferanten, Kunden und auch mit dem Rest der Welt.		
Eltern fallen darauf herein, weil die Kinder ihnen helfen, (to fool themselves){{c1::sich selbst etwas vorzumachen}}. Das funktioniert mit Chefs, Lieferanten, Kunden und auch mit dem Rest der Welt.		
Eltern fallen darauf herein, weil die Kinder ihnen helfen, sich selbst etwas vorzumachen. Das funktioniert mit Chefs, Lieferanten, Kunden und auch (with the rest of the world){{c1::mit dem Rest der Welt}}.		
(Use this technique){{c1::Setzen Sie diese Technik ein}}, aber hüten Sie sich, selbst darauf hereinzufallen.		
Setzen Sie diese Technik ein, (but take care){{c1::aber hüten Sie sich}}, selbst darauf hereinzufallen.		
Setzen Sie diese Technik ein, aber hüten Sie sich, (not to fall for it yourself){{c1::selbst darauf hereinzufallen}}.		
Machen Sie nicht den Fehler, härter zu arbeiten, (when the solution is to work smarter){{c1::wenn die Lösung darin besteht, schlauer zu arbeiten}}.		
Ich selbst habe sowohl berufliche als auch private Aufgaben in immer größeren Abständen abgearbeitet, (because I have noticed){{c1::weil ich gemerkt habe}}, wie selten dabei echte Probleme auftreten.		
Ich selbst habe sowohl berufliche als auch private Aufgaben in immer größeren Abständen abgearbeitet, weil ich gemerkt habe, wie selten dabei echte Probleme (occur){{c1::auftreten}}.		
Fehlendes Empowerment bedeutet, dass jemand (is not capable of){{c1::nicht in der Lage ist}}, eine Aufgabe auszuführen, ohne vorher die Erlaubnis oder notwendige Informationen einzuholen.		
Fehlendes Empowerment bedeutet, dass jemand nicht in der Lage ist, (of carrying out a task){{c1::eine Aufgabe auszuführen}}, ohne vorher die Erlaubnis oder notwendige Informationen einzuholen.		
Fehlendes Empowerment bedeutet, dass jemand nicht in der Lage ist, eine Aufgabe auszuführen, ohne vorher die Erlaubnis oder (gathering the necessary information){{c1::notwendige Informationen einzuholen}}.		
